,season_column,tm,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,teamChemistry,playoffs
81,1957,BOS,1690.5,4347.7,3.1017,0.0,0.0,0.0,1548.2,4329.5,2.70315,2.3245,1178.4,1720.7,0.0,0.0,2889.65,874.3000000000001,0.0,0.0,0.0,1278.4,5400.15,450.0,True
82,1957,FTW,1468.6,3693.0,3.35085,0.0,0.0,0.0,1417.8,3918.2,2.92725,2.476,1119.1,1648.85,0.0,0.0,2462.25,703.7,0.0,0.0,0.0,1158.4,4895.95,284.0,True
83,1957,MNL,1606.0,4000.6,2.6927499999999998,0.0,0.0,0.0,1528.6,4338.8,2.38245,2.12,1318.0,1908.7,0.0,0.0,2688.65,651.8000000000001,0.0,0.0,0.0,1321.45,5228.15,224.0,True
84,1957,NYK,1558.3,3923.3,3.5765,0.0,0.0,0.0,1437.4,3979.7999999999997,3.1319500000000002,2.7100999999999997,1235.1,1810.05,0.0,0.0,2573.85,762.7,0.0,0.0,0.0,1263.95,5154.9,472.0,False
85,1957,PHW,1492.1000000000001,3642.2,3.44415,0.0,0.0,0.0,1436.2,3804.2,3.03255,2.6724,1208.2,1714.95,0.0,0.0,2371.0,786.2,0.0,0.0,0.0,1189.8,5105.7,394.0,True
86,1957,ROC,1534.6,3911.9,3.3400499999999997,0.0,0.0,0.0,1450.8,4249.1,2.894,2.5276,1027.4,1585.5,0.0,0.0,2408.55,676.8000000000001,0.0,0.0,0.0,1326.0,4768.2,280.0,False
87,1957,STL,1608.8999999999999,3664.1,4.0891,0.0,0.0,0.0,1615.8,4307.3,3.7356000000000003,3.3414,1227.3999999999999,1876.0500000000002,0.0,0.0,2839.35,738.1,0.0,0.0,0.0,1325.7,5062.4,450.0,True
88,1957,SYR,1467.5,4006.3,3.64815,0.0,0.0,0.0,1381.4,4000.2999999999997,3.2351,2.9102,1186.6,1660.4,0.0,0.0,2477.55,676.5,0.0,0.0,0.0,1237.3500000000001,5080.299999999999,524.0,True
90,1958,BOS,1826.5,4683.1,2.8429499999999996,0.0,0.0,0.0,1674.4,4720.7,2.46005,2.1605,1116.5,1677.3500000000001,0.0,0.0,3164.25,873.9000000000001,0.0,0.0,0.0,1196.2,5611.35,476.0,True
91,1958,CIN,1644.3999999999999,4009.5,3.0517499999999997,0.0,0.0,0.0,1611.8,4366.3,2.7061,2.4061,955.4,1491.75,0.0,0.0,2722.4,819.6,0.0,0.0,0.0,1262.8,5168.5,198.0,True
92,1958,DET,1518.0,4073.7,4.0870999999999995,0.0,0.0,0.0,1455.4,4132.3,3.635,3.2203,1154.2,1721.45,0.0,0.0,2772.65,730.6,0.0,0.0,0.0,1262.8,5342.999999999999,432.0,True
